name,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
Sophie,Croissant,Bananas,Juice,Tomatoes,Pepper,Chips,Sugar,Limonade,,
Leo,Water,Chicken,Mushrooms,Dorritos,,,,,,
Robert,Water,Cheese,,,,,,,,
John,Bananas,Muffins,,,,,,,,
Jane,Vanilla,Dorritos,Limonade,,,,,,,
Nani Lola,Donuts,Chocolate,Pepper,Oranges,Limonade,,,,,
Sophie,Fish,Water,Eggs,,,,,,,
Leo,Donuts,Muffins,,,,,,,,
Robert,Donuts,Chocolate,,,,,,,,
John,Juice,Chicken,Pepper,,,,,,,
Jane,Pie,Snack,,,,,,,,
Nani Lola,Butter,Fish,Oignons,Tomatoes,Croissant,Donuts,Water,Chocolate,Pie,Milk
Sophie,Eggs,Cookies,,,,,,,,
Leo,Croissant,Chicken,Brioche,Soda,Chips,Cola,Limonade,,,
Robert,Butter,Oignons,Water,Cake,Olive Oil,Limonade,,,,
John,Donuts,,,,,,,,,
Jane,Dorritos,,,,,,,,,
Nani Lola,Cola,,,,,,,,,
Sophie,Croissant,Cheese,Soda,Chips,Limonade,,,,,
Leo,Butter,Eggs,,,,,,,,
Robert,Juice,,,,,,,,,
John,Chocolate,Milk,,,,,,,,
Jane,Oignons,Cake,Croissant,Water,Bananas,Snack,Pepper,,,
Nani Lola,Cookies,,,,,,,,,
Sophie,Bread,Chips,,,,,,,,
Leo,Dorritos,Oignons,Tomatoes,Pie,Corn,,,,,
Robert,Vanilla,Chicken,Soda,,,,,,,
John,Cookies,,,,,,,,,
Jane,Vanilla,,,,,,,,,
Nani Lola,Croissant,Eggs,,,,,,,,
Sophie,Cookies,,,,,,,,,
Leo,Water,Chocolate,Fish,,,,,,,
Robert,Eggs,Bananas,,,,,,,,
John,Dorritos,Croissant,Donuts,Water,Oranges,,,,,
Jane,Pepper,,,,,,,,,
Nani Lola,Eggs,Cake,Juice,,,,,,,
Sophie,Vanilla,Donuts,Milk,Juice,Limonade,,,,,
Leo,Water,Snack,Butter,Juice,,,,,,
Robert,Vanilla,Dorritos,Oignons,Water,Eggs,Olive Oil,,,,
John,Snack,,,,,,,,,
Jane,Snack,Cola,,,,,,,,
Nani Lola,Chocolate,Corn,,,,,,,,
Sophie,Fish,,,,,,,,,
Leo,Mushrooms,Carrots,,,,,,,,
Robert,Vanilla,Juice,Fish,Limonade,,,,,,
John,Fish,,,,,,,,,
Jane,Vanilla,Oignons,Bread,Chips,Donuts,Water,Meat,Olive Oil,Snack,Mushrooms
Nani Lola,Juice,Fish,,,,,,,,
Sophie,Juice,,,,,,,,,
Leo,Vanilla,Cookies,Eggs,Juice,Water,Limonade,,,,
Robert,Pineapple,Croissant,Chicken,Chips,,,,,,
John,Butter,Pineapple,Oignons,Pepper,Water,Garlic,Sugar,Tomatoes,,
Jane,Muffins,Eggs,Cookies,,,,,,,
Nani Lola,Cookies,,,,,,,,,
Sophie,Oignons,Cake,Croissant,Donuts,Chocolate,Limonade,,,,
Leo,Water,Chilli Pepper,Chocolate,,,,,,,
Robert,Vanilla,Oignons,Snack,Cookies,Eggs,Corn,Chilli Pepper,Soda,,
John,Butter,Vanilla,Croissant,Chocolate,Chicken,Cookies,Eggs,Tomatoes,Cheese,
Jane,Pineapple,Donuts,Chocolate,Eggs,,,,,,
Nani Lola,Croissant,Snack,Chilli Pepper,Carrots,Chips,,,,,
Sophie,Croissant,Pie,Donuts,Water,Cookies,Eggs,,,,
Leo,Water,Olive Oil,Brioche,,,,,,,
Robert,Bread,Chips,Water,Croissant,Bananas,Milk,Olive Oil,Apples,Eggs,Cheese
John,Bread,Chips,Croissant,Cake,Olive Oil,Chicken,Snack,Fish,,
Jane,Donuts,Water,Chocolate,Juice,Pie,Chicken,Mushrooms,Bread,,
Nani Lola,Bread,Chips,Water,Eggs,,,,,,
Sophie,Vanilla,Water,Chicken,Bread,,,,,,
Leo,Water,Eggs,Chocolate,Fish,,,,,,
Robert,Chicken,Eggs,Juice,Sugar,,,,,,
John,Butter,Oignons,Salmon,Oranges,Snack,,,,,
Jane,Dorritos,Donuts,Olive Oil,Eggs,Juice,Limonade,,,,
Nani Lola,Water,Snack,,,,,,,,
Sophie,Eggs,Juice,,,,,,,,
Leo,Vanilla,Tomatoes,Water,Croissant,Milk,Cookies,Eggs,Chocolate,Chicken,
Robert,Muffins,,,,,,,,,
